Geneid,SRR6671741,SRR6671742,SRR6671744,SRR6671745,SRR6671746,SRR6671748,SRR6671757,SRR6671770,SRR6671771,SRR6671776,SRR6671780,SRR6671781,SRR6671782,SRR6671790,SRR6671736,SRR6671739,SRR6671749,SRR6671752,SRR6671753,SRR6671754,SRR6671755,SRR6671764,SRR6671772,SRR6671773,SRR6671775,SRR6671777,SRR6671779,SRR6671789,SRR6671737,SRR6671738,SRR6671740,SRR6671743,SRR6671747,SRR6671750,SRR6671751,SRR6671756,SRR6671758,SRR6671759,SRR6671760,SRR6671761,SRR6671762,SRR6671763,SRR6671765,SRR6671766,SRR6671767,SRR6671768,SRR6671769,SRR6671774,SRR6671778,SRR6671783,SRR6671784,SRR6671785,SRR6671786,SRR6671787,SRR6671788,SRR6671791,SRR6671792
AAC76677.1,427.333,393.5,550.471,992.64,615.173,777.047,442.506,201.364,576.006,339.524,760.771,1482.009,747.749,400.31,358.011,359.491,289.287,1475.849,1642.589,1076.036,297.316,760.525,299.063,338.07,409.041,357.935,493.108,322,313.05,390.942,353.001,370.439,1054.823,340.474,2565.045,263.353,473.51,328.871,388.022,409.004,520.191,1101.812,881.531,359.008,278.235,353.069,209,392.816,262,337.976,228.144,217,194.108,403.193,364.361,451.275,704.328
AAC76678.1,135.016,109.045,359.002,303.444,200.724,247,126.845,95.822,338,137.113,60.01,151,70,162.007,84.001,75.001,203.248,276.454,303.306,161.009,126.292,218.002,91.001,158.581,102.001,151.332,53.068,48,106,118,85,187.84,324.69,285.427,389.509,112.174,133.009,142.97,139.146,231.028,251.647,245.545,299.776,49,61.012,117,56,220.178,31,9,59.003,161,131.003,57.001,112.338,139.011,315.109
AAC76679.1,1616.213,1493.462,756.457,480.558,401.218,2707.411,2172.857,556.321,1098.79,918.199,1397.521,12851.571,5470.245,852.891,2055.962,1339.402,1021.985,858.709,711.847,5563.231,1175.814,435.014,1126.996,838.401,1817.734,416.234,1933.711,2160.551,1130.325,1271.642,1464.764,933.861,435.035,531.896,1038.689,1220.172,2175.138,1103.366,996.874,595.659,588.546,534.26,363.383,1800.656,1230.752,726.005,705.08,693.322,1021.099,2209.723,707.825,643.1,295.072,2747.125,2242.717,355.072,366.571
AAC76680.1,157.948,293.409,142.157,103.698,80.815,596.168,302.641,125.103,235.968,169.716,206.485,500.498,256.223,136.077,241.243,124.044,161.884,106.646,101.007,798.1,168.937,89.006,174.639,118.852,282.617,81.003,230.774,168.689,128.32,118,148.011,131.746,73.388,84.025,183.549,96.35,307.7,157.8,161.61,88.939,101.35,110.882,91.227,200.531,140.717,97.352,173.449,103.769,152.492,232.92,147.696,117.881,75.864,231.662,207.466,107.371,125.673
AAC76681.2,26.052,38.99,18.906,21.302,22.253,87.832,59.771,12.106,39.032,26.388,45.715,89.503,51.901,23.02,40.345,24.057,22.116,19.357,18,108.911,22.163,15.994,31.77,22.149,35.164,21.049,34.232,16.333,27.7,17,21.989,11.419,18.78,23.978,48.461,16.79,50.374,16.258,33.391,12.063,15.65,22.121,17.836,39.567,21.567,18.652,22.375,23.379,34.529,48.082,19.398,16.125,11.138,44.366,27.789,27.634,28.36
AAC76682.1,15,7,14,42.161,20.062,16,4,6,21.003,7,19,66,23,15.066,8,10,11,43.14,36.38,22.029,4,24.828,5.046,7,14,5,27.064,11.006,11,10,5,9,41.033,12,70.091,7,11,9,7.011,14.001,10,48.191,35.004,6,10,8,14,9,17.035,3,3,7,5,13,3.002,18.014,19
AAC76683.1,480.011,294,329.059,152.839,150.117,574,316.652,142.208,445.019,285.686,201.197,1057,372.7,168.841,280.536,289.202,274.011,216.549,185.15,906.297,288.981,218.946,236.466,242.537,306.016,175.098,209.03,338.997,233.613,264.478,340.002,277.134,124.339,232.415,216.126,271.775,313.117,228.66,276.37,216.008,249.436,198.023,212.804,248.024,246.153,251,129,236.096,127.978,143.062,148.09,170.888,141.109,295.312,324.436,63.572,72
QNV50551.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC76684.1,239.166,192.041,126,115,88.2,188,190.779,40,67,98,812.65,7987.814,352.197,82,148.286,125.277,63.013,144.344,116.419,590,122.343,134.001,122.004,98,178.019,56.005,458.253,185.182,104.464,117.423,161,110.003,98.273,54.193,188.167,104.003,231.992,118.074,107.093,75,61,196.061,110.196,126,106.847,91,45,119.449,158.575,224.269,40.246,31.112,26,199.672,188.797,15,15
ABD18705.1,10,13,11,34,26.001,15,8,2,2,7,10,72.004,18.001,3,17,16.005,6,33,15.007,67,11,32.058,6.026,2,9,7,13,15,9,7,7,10,32,3,41,6,13,11,10,5,7,40.999,28.047,16,11,0,1,6,5,10,4,2,3,21,19.073,4,3
